"gene","id","logFC","padj","Enriched"
"Lrrc1",10595109,-0.741965894664181,0.00181829679552909,"cDC1_ctrl"
"Nmi",10482517,0.69523782891549,0.00186856343847512,"cDC1_LPS"
"Oas1a///Oas1g",10533246,1.47717857417295,0.00188807130211804,"cDC1_LPS"
"Ndrg2",10419578,1.50416081112993,0.00188807130211804,"cDC1_LPS"
"Naga",10430834,-0.715958950919909,0.00184446149000352,"cDC1_ctrl"
"Khk",10520612,-1.19653199298193,0.00188891743247774,"cDC1_ctrl"
"Gpr31b",10447902,1.87003646110964,0.00190030895997181,"cDC1_LPS"
"Plxnd1",10547100,1.0382934726307,0.00190030895997181,"cDC1_LPS"
"Stk39",10483381,1.04363398111113,0.00194933483582078,"cDC1_LPS"
"Cd34",10352905,-2.19398087222802,0.00194933483582078,"cDC1_ctrl"
"B4galt5",10489891,0.655813823192016,0.00194933483582078,"cDC1_LPS"
"Ncapg",10521731,0.554401338039236,0.00194933483582078,"cDC1_LPS"
"H2-Oa",10444223,-0.762153078738764,0.00193881363570374,"cDC1_ctrl"
"Slc14a1",10459866,-1.06977638598763,0.00196152273448821,"cDC1_ctrl"
"Anln",10591781,0.717418482738916,0.00194933483582078,"cDC1_LPS"
"Gm10752",10366407,0.648949279245751,0.00194933483582078,"cDC1_LPS"
"Rcl1",10462346,0.936603784451563,0.00197403122503019,"cDC1_LPS"
"Celf2",10479950,-0.800674387839061,0.00196152273448821,"cDC1_ctrl"
"Pqlc1",10457007,-1.06209895051487,0.00198290387343326,"cDC1_ctrl"
"Pstpip1",10585555,-0.740381359325511,0.00198598788416241,"cDC1_ctrl"
"Rinl",10551587,-0.587643072516802,0.0019884254201429,"cDC1_ctrl"
"Lad1",10350159,1.50346386670979,0.00198290387343326,"cDC1_LPS"
"Klrb1b",10548314,-0.687120154256972,0.00198828860153756,"cDC1_ctrl"
"Pla2g4f",10486448,1.18171022300072,0.00199767857808098,"cDC1_LPS"
"Oas2",10533198,1.47013495859596,0.00199952358816083,"cDC1_LPS"
"Leprotl1",10578149,-0.659811021111132,0.00198780279977133,"cDC1_ctrl"
"Adi1",10395058,-0.803804459059394,0.00202949233917441,"cDC1_ctrl"
"Cst7",10476945,1.11589419430917,0.00203697106757084,"cDC1_LPS"
"Stard9",10475229,-0.91793519488941,0.00204963881715373,"cDC1_ctrl"
"Irf7",10569102,1.01522856316678,0.00199752456727564,"cDC1_LPS"
"Parp14",10439249,0.904924225957764,0.00205450956869652,"cDC1_LPS"
"Ppm1m",10596442,-0.586830214824655,0.00204871857079882,"cDC1_ctrl"
"Hdac10",10431371,-0.646988572212515,0.00206536221861052,"cDC1_ctrl"
"Tmem106a",10381445,0.936576707798146,0.00206536221861052,"cDC1_LPS"
"Runx3",10509030,0.62932452772869,0.00206536221861052,"cDC1_LPS"
"Tmem63a",10352320,-0.657000637592747,0.00206536221861052,"cDC1_ctrl"
"Vamp1",10541877,-0.606657283743881,0.00208816167846771,"cDC1_ctrl"
"Slamf6",10351691,0.690718696695759,0.00210119839863103,"cDC1_LPS"
"Ophn1",10605884,-0.924623269547293,0.00209833685975363,"cDC1_ctrl"
"Kbtbd11",10570516,-0.779429399254227,0.00210497806363252,"cDC1_ctrl"
"Dok3",10409502,-0.814781553954846,0.00210119839863103,"cDC1_ctrl"
"Ccl22",10574213,1.68682050405295,0.00206536221861052,"cDC1_LPS"
"Gstt3///Gstt3",10369993,0.9153470355209,0.00213523478348949,"cDC1_LPS"
"Cpq",10423556,-0.783692074436477,0.00213523478348949,"cDC1_ctrl"
"Aebp2",10542557,1.13717505368899,0.00214125890207339,"cDC1_LPS"
"Mppe1",10459518,-0.607025431985689,0.00214930614447275,"cDC1_ctrl"
"Serpine1",10534667,1.7422619674669,0.00214930614447275,"cDC1_LPS"
"Synpo2",10501903,0.818152695889215,0.00215204512810418,"cDC1_LPS"
"Coro7",10437399,-0.810728408733933,0.00215204512810418,"cDC1_ctrl"
"Klrd1",10542214,-0.718578329526183,0.00215204512810418,"cDC1_ctrl"
"Prkag1",10432281,-0.593753779460149,0.00215856655258349,"cDC1_ctrl"
"9330175E14Rik",10580752,0.808833145429104,0.00216715625707252,"cDC1_LPS"
"Rasd1",10386455,0.791815803080318,0.00219271750989729,"cDC1_LPS"
"Hexa",10585874,-0.70070923004883,0.00215204512810418,"cDC1_ctrl"
"Thoc6",10448292,0.572866571602111,0.00224569286211678,"cDC1_LPS"
"Chd7",10503202,0.765748841195348,0.00225493649360416,"cDC1_LPS"
"Camk1d",10479852,-1.08495604462007,0.00224739883390996,"cDC1_ctrl"
"Ddx26b",10599696,-1.10896648038384,0.00227216482905957,"cDC1_ctrl"
"Trf",10596148,-1.50812599678076,0.00226180034653481,"cDC1_ctrl"
"Dusp2",10475782,1.66466735676288,0.00225493649360416,"cDC1_LPS"
"Mllt3",10514255,-0.945627468208865,0.00229513595259903,"cDC1_ctrl"
"Vps13b",10423663,-0.641378418719603,0.00229985372342714,"cDC1_ctrl"
"Cxx1b///Cxx1a",10604637,-1.67235133584655,0.00231624019371851,"cDC1_ctrl"
"Tet1",10369688,-0.629349678019546,0.0023044176468263,"cDC1_ctrl"
"Rab7b",10349661,-0.828046255352636,0.00225617500753077,"cDC1_ctrl"
"Stat5a",10381172,0.72069269918007,0.00233341812587661,"cDC1_LPS"
